reviewTitle,title_result,reviewBody,body_result,aspects
Good,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",Working,"[{'overall_score': 'neutral', 'aspects': [], 'sentiments': []}]",[]
Nice Product,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'nice', 'sentiment': 'positive'}]}]",Worth it.. because of nice features like monitoring energy.. I am using for morning breakfast egg boiler.. scheduling is super nice. very happy with purchase,"[{'overall_score': 'positive', 'aspects': ['features', 'energy', '..', 'i', 'morning', 'breakfast', 'egg', 'boiler', '..', 'scheduling', 'purchase'], 'sentiments': [{'word': 'worth', 'sentiment': 'positive'}, {'word': 'nice', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'super', 'sentiment': 'positive'}, {'word': 'nice', 'sentiment': 'positive'}, {'word': 'happy', 'sentiment': 'positive'}]}]","['product', 'features', 'energy', '..', 'i', 'morning', 'breakfast', 'egg', 'boiler', '..', 'scheduling', 'purchase']"
Love it,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]",My kids love it. It helps them organize their dolls and accessories,"[{'overall_score': 'positive', 'aspects': ['kids', 'dolls', 'accessories'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]","['kids', 'dolls', 'accessories']"
Loooooves it!,"[{'overall_score': 'positive', 'aspects': ['loooooves'], 'sentiments': []}]",Gave as a Christmas gift and the giftee can’t stop praising it. The pic is clear and the size is huge.,"[{'overall_score': 'positive', 'aspects': ['christmas', 'gift', 'giftee', 'stop', 'pic', 'size'], 'sentiments': [{'word': 'praising', 'sentiment': 'positive'}, {'word': 'clear', 'sentiment': 'positive'}]}]","['loooooves', 'christmas', 'gift', 'giftee', 'stop', 'pic', 'size']"
Es hermoso!!!,"[{'overall_score': 'positive', 'aspects': ['hermoso'], 'sentiments': []}]","Leí los comentarios y note que las tallas no eran exactas, fui precavida y compré una talla menos, le va quedar perfecto!!! Es hermoso, excelente calidad �","[{'overall_score': 'positive', 'aspects': ['los', 'comentarios', 'note', 'que', 'eran', 'precavida', 'y', 'compré', 'talla', 'menos', 'va', 'quedar', 'perfecto', 'hermoso', 'calidad', '�'], 'sentiments': []}]","['hermoso', 'los', 'comentarios', 'note', 'que', 'eran', 'precavida', 'y', 'compré', 'talla', 'menos', 'va', 'quedar', 'perfecto', 'hermoso', 'calidad', '�']"
colors don't match,"[{'overall_score': 'negative', 'aspects': ['colors'], 'sentiments': []}]",Seems too thick and doesn't match skin.  The colors look different than shown and very hard to find one to match skin.,"[{'overall_score': 'negative', 'aspects': ['skin', 'colors', 'skin'], 'sentiments': [{'word': 'hard', 'sentiment': 'negative'}]}]","['colors', 'skin', 'colors', 'skin']"
They fit.,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': []}]","The undies are soft, stretchy and comfortable.","[{'overall_score': 'positive', 'aspects': ['undies'], 'sentiments': [{'word': 'soft', 'sentiment': 'positive'}, {'word': 'comfortable', 'sentiment': 'positive'}]}]",['undies']
Works well,"[{'overall_score': 'positive', 'aspects': ['works'], 'sentiments': [{'word': 'works', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}]}]","this works great, very slim design and intuitive. All charging ports/stations work well, I like that you can just use the single charging station for the phone and separate the iWatch and AirPod. Perfect for office or in home.","[{'overall_score': 'positive', 'aspects': ['design', 'ports/stations', 'i', 'charging', 'station', 'phone', 'iwatch', 'airpod', 'office', 'home'], 'sentiments': [{'word': 'works', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'intuitive', 'sentiment': 'positive'}, {'word': 'work', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'perfect', 'sentiment': 'positive'}]}]","['works', 'design', 'ports/stations', 'i', 'charging', 'station', 'phone', 'iwatch', 'airpod', 'office', 'home']"
Hurry up to purchase!,"[{'overall_score': 'positive', 'aspects': ['hurry', 'purchase'], 'sentiments': []}]",Best phone of 2020,"[{'overall_score': 'positive', 'aspects': ['phone'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}]}]","['hurry', 'purchase', 'phone']"
Bad,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': [{'word': 'bad', 'sentiment': 'negative'}]}]",Did not last after first wash,"[{'overall_score': 'negative', 'aspects': ['wash'], 'sentiments': []}]",['wash']
The best stylus I’ve ever purchased.,"[{'overall_score': 'positive', 'aspects': ['stylus', 'i', 've'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}]}]","This stylus is the best stylus I’ve ever purchased. The fiber tip is soft and easy to use. The clear disk tip—well i didn’t think at first it would work as well as a regular point rip, but it does and even better then my other tip stylus’s.","[{'overall_score': 'positive', 'aspects': ['stylus', 'stylus', 'i', 've', 'fiber', 'tip', 'disk', 'tip—well', 'i', 't', 'think', 'point', 'rip', '’', 's'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}, {'word': 'soft', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'clear', 'sentiment': 'positive'}, {'word': 'work', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'rip', 'sentiment': 'negative'}, {'word': 'better', 'sentiment': 'positive'}]}]","['stylus', 'i', 've', 'stylus', 'stylus', 'i', 've', 'fiber', 'tip', 'disk', 'tip—well', 'i', 't', 'think', 'point', 'rip', '’', 's']"
Most comfortable pillows for the price,"[{'overall_score': 'positive', 'aspects': ['pillows', 'price'], 'sentiments': [{'word': 'comfortable', 'sentiment': 'positive'}]}]",Had these for 2 months and they're still very comfortable.  I really like them. For me these are the  best pillows to sleep on.,"[{'overall_score': 'positive', 'aspects': ['months', 'pillows'], 'sentiments': [{'word': 'comfortable', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'best', 'sentiment': 'positive'}]}]","['pillows', 'price', 'months', 'pillows']"
Sharp sturdy knife set,"[{'overall_score': 'positive', 'aspects': ['knife', 'set'], 'sentiments': [{'word': 'sharp', 'sentiment': 'positive'}, {'word': 'sturdy', 'sentiment': 'positive'}, {'word': 'knife', 'sentiment': 'negative'}]}]","Seemingly great set of knives, comfortable in your hand, extremely sharp.","[{'overall_score': 'positive', 'aspects': ['set', 'knives', 'hand'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'comfortable', 'sentiment': 'positive'}, {'word': 'sharp', 'sentiment': 'positive'}]}]","['knife', 'set', 'set', 'knives', 'hand']"
Just what I needed,"[{'overall_score': 'positive', 'aspects': ['i'], 'sentiments': []}]",Perfect for home and travel.,"[{'overall_score': 'positive', 'aspects': ['perfect', 'home', 'travel'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]","['i', 'perfect', 'home', 'travel']"
good value,"[{'overall_score': 'positive', 'aspects': ['value'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",does what its supposed to do,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': []}]",['value']
Great robot vacuum for a great price,"[{'overall_score': 'positive', 'aspects': ['robot', 'vacuum', 'price'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]",Great vacuum for a great price. This is the first robot vacuum we have purchased. It is simple to operate and is great for picking up the daily dust and and hair they the week to keep things looking good and has helped cut back on use of our upright corded vacuum.,"[{'overall_score': 'positive', 'aspects': ['vacuum', 'price', 'robot', 'vacuum', 'dust', 'hair', 'week', 'things', 'use', 'upright', 'vacuum'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'dust', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'helped', 'sentiment': 'positive'}]}]","['robot', 'vacuum', 'price', 'vacuum', 'price', 'robot', 'vacuum', 'dust', 'hair', 'week', 'things', 'use', 'upright', 'vacuum']"
Superb Quality,"[{'overall_score': 'positive', 'aspects': ['superb', 'quality'], 'sentiments': [{'word': 'superb', 'sentiment': 'positive'}]}]",Fits exactly how I imagined. Quality of material is amazing and soft. Will definitely purchase again,"[{'overall_score': 'positive', 'aspects': ['fits', 'quality', 'material'], 'sentiments': [{'word': 'amazing', 'sentiment': 'positive'}, {'word': 'soft', 'sentiment': 'positive'}]}]","['superb', 'quality', 'fits', 'quality', 'material']"
good  product,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",great price,"[{'overall_score': 'positive', 'aspects': ['price'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","['product', 'price']"
Don’t work.,"[{'overall_score': 'negative', 'aspects': ['don', '’', 't', 'work'], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}]}]",These doesn’t work. Don’t stick to face nor does it do anything to the bumps. Also isn’t sheer and you can tell their on your face.,"[{'overall_score': 'negative', 'aspects': ['’', 't', 'work', 't', 'stick', 'anything', 'bumps', '’', 't', 'sheer', 'face'], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}, {'word': 'bumps', 'sentiment': 'negative'}]}]","['don', '’', 't', 'work', '’', 't', 'work', 't', 'stick', 'anything', 'bumps', '’', 't', 'sheer', 'face']"
Fast shipping,"[{'overall_score': 'positive', 'aspects': ['shipping'], 'sentiments': [{'word': 'fast', 'sentiment': 'positive'}]}]",Came pretty fast good quality filter,"[{'overall_score': 'positive', 'aspects': ['quality', 'filter'], 'sentiments': [{'word': 'pretty', 'sentiment': 'positive'}, {'word': 'fast', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}]}]","['shipping', 'quality', 'filter']"
Very short draw string,"[{'overall_score': 'negative', 'aspects': ['draw', 'string'], 'sentiments': []}]","While I do like the pattern, they are on the smaller side and the draw string is way to short. I ordered a XXL and the string to tighten the shorts should of been 59"" for that size. As it was, I measured mine at 55"" and couldn't even tie a bow this when you put the shorts on, the string pulls inside the string hole this making it very difficult to pull back out. That's a key component this why I knocked 3 stars off. Had to buy 2 64"" draw strings at $12 just to be able to tie an appropriate not so pants stay up.","[{'overall_score': 'negative', 'aspects': ['pattern', 'side', 'draw', 'string', 'way', 'xxl', 'string', 'shorts', 'size', 'i', 'mine', 'bow', 'shorts', 'string', 'pulls', 'string', 'hole', 'component', 'i', 'stars', 'draw', 'strings', 'pants'], 'sentiments': [{'word': 'like', 'sentiment': 'positive'}, {'word': 'difficult', 'sentiment': 'negative'}, {'word': 'appropriate', 'sentiment': 'positive'}]}]","['draw', 'string', 'pattern', 'side', 'draw', 'string', 'way', 'xxl', 'string', 'shorts', 'size', 'i', 'mine', 'bow', 'shorts', 'string', 'pulls', 'string', 'hole', 'component', 'i', 'stars', 'draw', 'strings', 'pants']"
Good value,"[{'overall_score': 'positive', 'aspects': ['value'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",Cost Effective and good quality.,"[{'overall_score': 'positive', 'aspects': ['cost', 'quality'], 'sentiments': [{'word': 'effective', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}]}]","['value', 'cost', 'quality']"
Worth the Money,"[{'overall_score': 'positive', 'aspects': ['money'], 'sentiments': [{'word': 'worth', 'sentiment': 'positive'}]}]",This vacuum is excellent and very lite and easy to use.  The product is well designed. My wife loves your vacuum. I will never repurchase another expensive vacuum.,"[{'overall_score': 'positive', 'aspects': ['vacuum', 'product', 'wife', 'vacuum', 'i', 'vacuum'], 'sentiments': [{'word': 'excellent', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'loves', 'sentiment': 'positive'}, {'word': 'expensive', 'sentiment': 'negative'}]}]","['money', 'vacuum', 'product', 'wife', 'vacuum', 'i', 'vacuum']"
"Sturdy, great quality, easy to use!","[{'overall_score': 'positive', 'aspects': ['sturdy', 'quality'], 'sentiments': [{'word': 'sturdy', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}]}]",It really works for spinal decompression. My chiropractor has it in his office and lets me use it after my therapy session. I watch the cooking shows or news while inverted!  Ie love it so much that I ended buying one for my house! I use it before and after martial arts class and it helps to open up your chest and expand your lungs.  Very helpful,"[{'overall_score': 'positive', 'aspects': ['decompression', 'chiropractor', 'office', 'lets', 'therapy', 'session', 'cooking', 'news', 'ie', 'i', 'house', 'i', 'arts', 'class', 'chest', 'lungs'], 'sentiments': [{'word': 'works', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}, {'word': 'helpful', 'sentiment': 'positive'}]}]","['sturdy', 'quality', 'decompression', 'chiropractor', 'office', 'lets', 'therapy', 'session', 'cooking', 'news', 'ie', 'i', 'house', 'i', 'arts', 'class', 'chest', 'lungs']"
Beautiful and high quality shelves!,"[{'overall_score': 'positive', 'aspects': ['beautiful', 'quality', 'shelves'], 'sentiments': [{'word': 'beautiful', 'sentiment': 'positive'}]}]","Easy to install, easy instructions. Quick delivery. BEAUTIFUL shelves, Love them! The wood is very pretty and the quality is superb.","[{'overall_score': 'positive', 'aspects': ['instructions', 'delivery', 'shelves', 'wood', 'quality'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'beautiful', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}, {'word': 'pretty', 'sentiment': 'positive'}, {'word': 'superb', 'sentiment': 'positive'}]}]","['beautiful', 'quality', 'shelves', 'instructions', 'delivery', 'shelves', 'wood', 'quality']"
Mini Air Cooler,"[{'overall_score': 'neutral', 'aspects': ['mini', 'air', 'cooler'], 'sentiments': []}]","This small fan is good for your personal space like your desk or next to your bed. It uses water to cool down and moisten the air it blows, so it works best when the air is dry, which also helped me when I had the heater on recently. It does its job quietly, which I appreciate because I like to have it running during the night also. Overall it is exactly what I expected and does what I want from it.","[{'overall_score': 'positive', 'aspects': ['fan', 'space', 'desk', 'bed', 'water', 'air', 'air', 'i', 'heater', 'job', 'i', 'night', 'i'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'cool', 'sentiment': 'positive'}, {'word': 'works', 'sentiment': 'positive'}, {'word': 'best', 'sentiment': 'positive'}, {'word': 'helped', 'sentiment': 'positive'}, {'word': 'appreciate', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}]}]","['mini', 'air', 'cooler', 'fan', 'space', 'desk', 'bed', 'water', 'air', 'air', 'i', 'heater', 'job', 'i', 'night', 'i']"
Positive saying,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'positive', 'sentiment': 'positive'}]}]",I love affirmations that are positive so every morning when I look in my mirror I get to see that,"[{'overall_score': 'positive', 'aspects': ['i', 'affirmations', 'morning', 'i', 'mirror', 'i'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'positive', 'sentiment': 'positive'}]}]","['i', 'affirmations', 'morning', 'i', 'mirror', 'i']"
Pretty and lightweight; thin but sturdy.,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'pretty', 'sentiment': 'positive'}, {'word': 'sturdy', 'sentiment': 'positive'}]}]","Overall I really like these planters!  Very lightweight but sturdy enough to hold decor.  Only problem I had was one of the planters was bent in at the bottom (zoom in on the bottom of left planter). Not worth returning to me, it'll add to that ""rustic"" look lol.","[{'overall_score': 'positive', 'aspects': ['i', 'planters', 'decor', 'problem', 'i', 'planters', 'bottom', 'zoom', 'bottom', 'planter', 'look', 'lol'], 'sentiments': [{'word': 'like', 'sentiment': 'positive'}, {'word': 'sturdy', 'sentiment': 'positive'}, {'word': 'enough', 'sentiment': 'positive'}, {'word': 'problem', 'sentiment': 'negative'}, {'word': 'bent', 'sentiment': 'negative'}, {'word': 'worth', 'sentiment': 'positive'}]}]","['i', 'planters', 'decor', 'problem', 'i', 'planters', 'bottom', 'zoom', 'bottom', 'planter', 'look', 'lol']"
Amazing frother,"[{'overall_score': 'positive', 'aspects': ['frother'], 'sentiments': [{'word': 'amazing', 'sentiment': 'positive'}]}]","I love how it heats up and froths so well. I tend to use less milk with this. Non dairy creamer varies in the ability to froth-oat milk tends to froth very little, but cow/cream and nut milk froths better.","[{'overall_score': 'positive', 'aspects': ['i', 'froths', 'milk', 'creamer', 'varies', 'ability', 'milk', 'cow/cream', 'milk', 'froths'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'better', 'sentiment': 'positive'}]}]","['frother', 'i', 'froths', 'milk', 'creamer', 'varies', 'ability', 'milk', 'cow/cream', 'milk', 'froths']"
Great!!!,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",Great controls for an affordable price,"[{'overall_score': 'positive', 'aspects': ['controls', 'price'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'affordable', 'sentiment': 'positive'}]}]","['controls', 'price']"
Must have for gamers,"[{'overall_score': 'positive', 'aspects': ['gamers'], 'sentiments': []}]",Very easy to use and set up. I used this to connect my Nintendo switch and xbox and now I can add more things. The remote is great so you don’t have to keep clicking a button on the actual device like others.,"[{'overall_score': 'positive', 'aspects': ['i', 'switch', 'xbox', 'things', 'remote', 't', 'button', 'device', 'others'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}]}]","['gamers', 'i', 'switch', 'xbox', 'things', 'remote', 't', 'button', 'device', 'others']"
Perfect!,"[{'overall_score': 'positive', 'aspects': ['perfect'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]",Perfect!,"[{'overall_score': 'positive', 'aspects': ['perfect'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]","['perfect', 'perfect']"
Must get camera,"[{'overall_score': 'positive', 'aspects': ['camera'], 'sentiments': []}]","I just got into video making....I’m not disappointed one bit. This camera is AWESOME!!! The features are awesome, although I’m still learning how to use them. It has the image stabilization is on point for something that fits in a shirt pocket. I’m looking forward to getting my hands on another one to add another video angle.","[{'overall_score': 'positive', 'aspects': ['i', 'video', 'making', '....', 'i', 'm', 'bit', 'camera', 'features', 'm', 'image', 'stabilization', 'point', 'something', 'shirt', 'pocket', 'hands', 'video', 'angle'], 'sentiments': [{'word': 'disappointed', 'sentiment': 'negative'}, {'word': 'awesome', 'sentiment': 'positive'}, {'word': 'awesome', 'sentiment': 'positive'}]}]","['camera', 'i', 'video', 'making', '....', 'i', 'm', 'bit', 'camera', 'features', 'm', 'image', 'stabilization', 'point', 'something', 'shirt', 'pocket', 'hands', 'video', 'angle']"
Good product.,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",No complaints. The logo can no placed towards the back if you dislike it. But I have no complaints.,"[{'overall_score': 'positive', 'aspects': ['complaints', 'logo', 'i', 'complaints'], 'sentiments': [{'word': 'complaints', 'sentiment': 'negative'}, {'word': 'dislike', 'sentiment': 'negative'}, {'word': 'complaints', 'sentiment': 'negative'}]}]","['product', 'complaints', 'logo', 'i', 'complaints']"
They still run small,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': []}]",Still a little small,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': []}]",[]
Quality Case and Great Service,"[{'overall_score': 'positive', 'aspects': ['quality', 'case', 'service'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","Second time of ordering these for storing my valuable prescription sunglasses.  Virtually crushproof.  Just the right size, not too big but they hold my Oakley sunglasses.  Great ervice from Splaqua.","[{'overall_score': 'positive', 'aspects': ['time', 'prescription', 'sunglasses', 'size', 'sunglasses', 'ervice', 'splaqua'], 'sentiments': [{'word': 'valuable', 'sentiment': 'positive'}, {'word': 'right', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['quality', 'case', 'service', 'time', 'prescription', 'sunglasses', 'size', 'sunglasses', 'ervice', 'splaqua']"
Perfect,"[{'overall_score': 'positive', 'aspects': ['perfect'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]",Perfect replacement for Starbucks tumblers,"[{'overall_score': 'positive', 'aspects': ['replacement', 'starbucks', 'tumblers'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]","['perfect', 'replacement', 'starbucks', 'tumblers']"
We Needed More Memory than 8 gig,"[{'overall_score': 'negative', 'aspects': ['memory', 'gig'], 'sentiments': []}]","We had an 8 gig SD Card that was not enough, so we ordered this 32 gig. We have had it for a couple of weeks. We turned off  the phone, took out the battery, replaced the SD card, plugged in the battery, turned on the phone. We took a pictures, used the phone. Everything seemed to work as before. I looked at the storage. There are 29.xx gigs still available on the SD. Everything seems to work well. It is nice to have some available memory on my phone again. When we find my wife's phone we will order another one.","[{'overall_score': 'positive', 'aspects': ['gig', 'sd', 'card', 'gig', 'couple', 'weeks', 'phone', 'battery', 'card', 'battery', 'phone', 'pictures', 'phone', 'everything', 'i', 'storage', 'gigs', 'sd', 'everything', 'memory', 'phone', 'wife', 'phone', 'order'], 'sentiments': [{'word': 'enough', 'sentiment': 'positive'}, {'word': 'work', 'sentiment': 'positive'}, {'word': 'available', 'sentiment': 'positive'}, {'word': 'work', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'nice', 'sentiment': 'positive'}, {'word': 'available', 'sentiment': 'positive'}]}]","['memory', 'gig', 'gig', 'sd', 'card', 'gig', 'couple', 'weeks', 'phone', 'battery', 'card', 'battery', 'phone', 'pictures', 'phone', 'everything', 'i', 'storage', 'gigs', 'sd', 'everything', 'memory', 'phone', 'wife', 'phone', 'order']"
Thanks,"[{'overall_score': 'positive', 'aspects': ['thanks'], 'sentiments': []}]",Good price,"[{'overall_score': 'positive', 'aspects': ['price'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]","['thanks', 'price']"
Awesome,"[{'overall_score': 'positive', 'aspects': ['awesome'], 'sentiments': [{'word': 'awesome', 'sentiment': 'positive'}]}]",It has so many zippers and it was perfect to transport our Pomeranian in to the Vets.,"[{'overall_score': 'positive', 'aspects': ['zippers', 'pomeranian', 'vets'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]","['awesome', 'zippers', 'pomeranian', 'vets']"
Very very leaky,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': [{'word': 'leaky', 'sentiment': 'negative'}]}]","I love the color , it’s beautiful, but the stains and leaking it’s horrible . I washed it three times and still comes color out of it like it’s not going away . I stained the sink , bathtub , my hands and face , very messy , so for me the leaking and mess it’s not worth .","[{'overall_score': 'negative', 'aspects': ['i', 'color', 'beautiful', 'stains', 'i', 'times', 'color', '’', 'i', 'sink', 'bathtub', 'hands', 'face', 'leaking', 'mess'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'beautiful', 'sentiment': 'positive'}, {'word': 'stains', 'sentiment': 'negative'}, {'word': 'leaking', 'sentiment': 'negative'}, {'word': 'horrible', 'sentiment': 'negative'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'sink', 'sentiment': 'negative'}, {'word': 'messy', 'sentiment': 'negative'}, {'word': 'leaking', 'sentiment': 'negative'}, {'word': 'mess', 'sentiment': 'negative'}, {'word': 'worth', 'sentiment': 'positive'}]}]","['i', 'color', 'beautiful', 'stains', 'i', 'times', 'color', '’', 'i', 'sink', 'bathtub', 'hands', 'face', 'leaking', 'mess']"
Work great for a DIY car maintenance,"[{'overall_score': 'positive', 'aspects': ['work', 'diy', 'car', 'maintenance'], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]",These adapters work great for taking off lug nuts and various other bolts when working on the car. It is a simple device but very handy to adapt to various socket sizes. Very good for DIY car mechanic. So far I had no issues with any of the sockets that I used.,"[{'overall_score': 'positive', 'aspects': ['adapters', 'lug', 'nuts', 'bolts', 'car', 'device', 'socket', 'sizes', 'diy', 'car', 'mechanic', 'i', 'issues', 'sockets'], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'handy', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'issues', 'sentiment': 'negative'}]}]","['work', 'diy', 'car', 'maintenance', 'adapters', 'lug', 'nuts', 'bolts', 'car', 'device', 'socket', 'sizes', 'diy', 'car', 'mechanic', 'i', 'issues', 'sockets']"
They stretch and feel good,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",I love the socks.  They make my legs and feet feel good.  Will buy again.,"[{'overall_score': 'positive', 'aspects': ['i', 'socks', 'legs', 'feet'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}]}]","['i', 'socks', 'legs', 'feet']"
Lightweight and efficient!,"[{'overall_score': 'positive', 'aspects': ['lightweight', 'efficient'], 'sentiments': [{'word': 'efficient', 'sentiment': 'positive'}]}]","Amazing vaccum for the price! Makes getting pet hair up so easy! Turns, gets under couches, in corners. One of the best Amazon buys I’ve ever made!","[{'overall_score': 'positive', 'aspects': ['vaccum', 'price', 'pet', 'turns', 'couches', 'corners', 'amazon', 'buys', 'i', 've'], 'sentiments': [{'word': 'amazing', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'best', 'sentiment': 'positive'}]}]","['lightweight', 'efficient', 'vaccum', 'price', 'pet', 'turns', 'couches', 'corners', 'amazon', 'buys', 'i', 've']"
BluFire Security Alarm,"[{'overall_score': 'neutral', 'aspects': ['blufire', 'security', 'alarm'], 'sentiments': [{'word': 'alarm', 'sentiment': 'negative'}]}]",I recently bought this product. Thought I liked it cause I never had an issue! I installed on my 2020 Yamaha YZF-R6 and I killed my battery. Know i have to purchase a battery for $103. Honestly isn't worth the $40 if your gonna end up having to buy a new battery.,"[{'overall_score': 'negative', 'aspects': ['i', 'product', 'cause', 'i', 'issue', 'i', 'i', 'battery', 'battery', 'gon', 'battery'], 'sentiments': [{'word': 'liked', 'sentiment': 'positive'}, {'word': 'issue', 'sentiment': 'negative'}, {'word': 'killed', 'sentiment': 'negative'}, {'word': 'worth', 'sentiment': 'positive'}]}]","['blufire', 'security', 'alarm', 'i', 'product', 'cause', 'i', 'issue', 'i', 'i', 'battery', 'battery', 'gon', 'battery']"
Top shelf airbrush,"[{'overall_score': 'positive', 'aspects': ['shelf', 'airbrush'], 'sentiments': [{'word': 'top', 'sentiment': 'positive'}]}]",Great airbrush great quality nice price highly recommend,"[{'overall_score': 'positive', 'aspects': ['airbrush', 'quality', 'price'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'nice', 'sentiment': 'positive'}, {'word': 'recommend', 'sentiment': 'positive'}]}]","['shelf', 'airbrush', 'airbrush', 'quality', 'price']"
Best radio clock,"[{'overall_score': 'positive', 'aspects': ['radio', 'clock'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}]}]",Durable! Love this radio clock!,"[{'overall_score': 'positive', 'aspects': ['radio', 'clock'], 'sentiments': [{'word': 'durable', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}]}]","['radio', 'clock', 'radio', 'clock']"
